Geo_GEOID,Geo_NAME,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008,SE_T030_001,SE_T030_002,SE_T030_003,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T083_001,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008,SE_T129_001,SE_T129_002,SE_T129_003,SE_T129_004,SE_T129_005,SE_T129_006,SE_T129_007,SE_T129_008,SE_T129_009,SE_T129_010,SE_T139_001,SE_T139_002,SE_T139_003,SE_T139_004,SE_T139_005,SE_T139_006,SE_T139_007,SE_T139_008,SE_T139_009,SE_T139_010,SE_T139_011,SE_T139_012,SE_T139_013,SE_T139_014,SE_T139_015,SE_T139_016,SE_T139_017,SE_T139_018,SE_T139_019,SE_T139_020,SE_T139_021,SE_T139_022,SE_T139_023,SE_T139_024,SE_T139_025,SE_T139_026,SE_T139_027,SE_T139_028,SE_T139_029,SE_T139_030,SE_T139_031,SE_T139_032,SE_T139_033,SE_T139_034,SE_T139_035,SE_T139_036,SE_T139_037,SE_T139_038,SE_T139_039,SE_T139_040,SE_T139_041,SE_T139_042,SE_T139_043,SE_T139_044,SE_T139_045,SE_T139_046,SE_T139_047,SE_T139_048,SE_T139_049,SE_T139_050,SE_T139_051,SE_T139_052,SE_T139_053,SE_T139_054,SE_T139_055,SE_T139_056,SE_T139_057,SE_T139_058,SE_T139_059,SE_T139_060,SE_T139_061,SE_T139_062,SE_T139_063,SE_T139_064,SE_T139_065,SE_T139_066,SE_T139_067,SE_T139_068,SE_T139_069,SE_T139_070,SE_T139_071,SE_T139_072,SE_T139_073,SE_T139_074,SE_T139_075,SE_T139_076,SE_T139_077,SE_T139_078,SE_T139_079,SE_T139_080,SE_T139_081,SE_T139_082,SE_T139_083,SE_T139_084,SE_T139_085,SE_T139_086,SE_T139_087,SE_T139_088,SE_T139_089,SE_T139_090,SE_T139_091,SE_T139_092,SE_T139_093,SE_T139_094,SE_T139_095,SE_T139_096,SE_T139_097,SE_T139_098,SE_T139_099,SE_T139_100,SE_T139_101,SE_T139_102,SE_T139_103,SE_T139_104,SE_T139_105,SE_T139_106,SE_T139_107,SE_T139_108,SE_T139_109,SE_T139_110,SE_T139_111,SE_T139_112,SE_T139_113,SE_T139_114,SE_T139_115,SE_T139_116,SE_T139_117,SE_T139_118,SE_T139_119,SE_T139_120,SE_T139_121,SE_T139_122,SE_T139_123,SE_T145_001,SE_T145_002,SE_T145_003,SE_T145_004,SE_T145_005
05000US01001,"Autauga County, Alabama",55049,604.3885,594.4464,9.942108,55049,26877,28172,55049,3172,3819,4239,2623,4730,6727,7588,8055,6401,4619,2417,659,55049,42311,10196,226,444,31,764,1077,20800,14653,11735,2918,570,2348,6147,2832,3315,36466,4528,31938,19419,8968,3764,723,243,2842,63,2779,42712,26008,309,25699,24262,1437,16704,26168,24302,23307,21082,2225,19,64,13,116,275,508,24302,23794,3170,5906,5107,6349,1999,719,544,508,1012,154,32,32,21,11,0,0,0,98,0,23,75,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,327,97,84,84,0,0,13,0,0,0,0,0,0,0,0,0,230,0,35,0,58,18,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,0,0,458,441,62,0,20,0,0,24,12,6,327,256,0,59,12,0,0,0,0,52,0,0,0,0,52,0,0,0,0,0,0,17,17,0,54387,4852,49535,17247,39556
05000US01003,"Baldwin County, Alabama",199510,2027.312,1589.808,437.5042,199510,97371,102139,199510,11432,12513,12574,7751,15294,22651,24710,27595,27652,22381,11127,3830,199510,172441,18594,1355,1338,0,1766,4016,75149,50190,40093,10097,2622,7475,24959,10622,14337,139946,13956,125990,85836,41350,14294,4231,1264,9434,485,8949,160301,93872,232,93640,87753,5887,66429,28069,86310,79642,73058,6584,198,180,268,943,697,4382,86310,81928,9002,23665,15757,15249,11457,4957,1841,4382,6523,1216,333,285,90,160,35,33,15,467,10,91,338,28,0,51,24,27,0,0,0,365,0,67,22,77,82,25,38,0,0,54,0,1210,561,436,403,33,0,34,91,0,237,0,0,137,12,0,88,408,0,0,0,212,0,162,34,4,4,0,0,0,0,0,0,0,153,142,0,38,104,0,0,0,0,9,9,0,0,0,0,0,0,2,47,47,18,29,0,3897,3677,514,0,4,11,0,179,101,219,2457,2008,0,23,228,19,16,163,0,706,7,0,162,104,141,153,0,10,0,129,0,220,220,0,197046,23255,173791,67956,134976
05000US01005,"Barbour County, Alabama",26614,904.5151,884.8762,19.63896,26614,14239,12375,26614,1472,1713,1589,961,2492,3653,3295,3662,3378,2661,1306,432,26614,12430,12756,46,129,0,1099,154,9122,5968,3968,2000,285,1715,3154,1365,1789,18387,4824,13563,7141,2366,935,199,75,1143,34,1109,21476,10316,0,10316,8993,1323,11160,17249,8783,8297,7271,1026,34,19,0,188,134,111,8783,8672,2008,2347,1395,1355,930,408,229,111,761,68,32,32,0,32,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,52,19,0,0,0,0,0,19,0,21,0,16,0,0,5,0,12,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,641,9,0,4,0,0,5,0,0,618,441,0,6,153,18,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,23682,3079,20603,11250,13110
05000US01007,"Bibb County, Alabama",22572,626.1688,622.5826,3.586107,22572,12084,10488,22572,1150,1185,1507,914,2066,3119,3039,3480,2752,2049,1110,201,22572,17370,4788,81,14,0,8,311,7048,5272,3928,1344,310,1034,1776,929,847,15750,3040,12710,6124,1890,919,156,100,1293,98,1195,18496,9002,5,8997,8354,643,9494,18988,8280,7975,7044,931,40,9,0,44,111,101,8280,8179,722,2304,1041,1582,1913,513,104,101,305,43,0,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,248,8,0,8,0,0,0,0,0,183,88,0,21,74,0,0,0,0,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,20598,1859,18739,7859,13656
05000US01009,"Blount County, Alabama",57704,650.6282,644.8068,5.821439,57704,28572,29132,57704,3512,3780,3913,2396,4631,6672,7346,8138,7395,6045,3077,799,57704,55073,905,201,92,0,501,932,20619,15439,12314,3125,1082,2043,5180,2335,2845,39472,7882,31590,18587,5151,1629,368,129,3411,131,3280,46007,22969,9,22960,21593,1367,23038,21033,21350,20550,18384,2166,37,21,0,188,74,480,21350,20870,2222,3145,2936,3446,5561,2911,649,480,2465,109,48,48,16,13,19,0,0,37,0,0,37,0,0,13,0,13,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,142,57,34,22,0,12,0,23,0,17,0,3,0,0,0,14,17,0,0,0,16,1,0,0,51,0,0,2,0,0,0,49,0,63,13,0,13,0,0,22,0,22,14,14,0,14,0,0,14,0,0,0,0,0,0,0,2151,2127,56,0,27,0,0,0,0,29,2059,1983,0,0,76,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,24,24,0,57255,6388,50867,20200,38875
05000US01011,"Bullock County, Alabama",10552,625.1435,622.8056,2.337857,10552,5719,4833,10552,631,668,599,376,945,1310,1564,1447,1415,1013,401,183,10552,2301,7967,84,84,0,1,115,3556,2318,1174,1144,290,854,1238,648,590,7333,2452,4881,2377,752,396,126,36,516,39,477,8547,4812,0,4812,4174,638,3735,17909,4165,3698,3184,514,15,0,0,232,112,108,4165,4057,998,1040,412,597,426,446,138,108,160,23,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,0,0,0,0,0,23,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10170,1702,8468,4658,4898
05000US01013,"Butler County, Alabama",20280,777.8815,776.8284,1.053084,20280,9522,10758,20280,1208,1347,1340,838,1598,2440,2439,2557,2837,2012,1191,473,20280,10876,8875,15,203,0,44,267,7675,5139,3382,1757,385,1372,2536,992,1544,13949,2642,11307,5748,2243,915,241,105,988,115,873,16103,8677,18,8659,7810,849,7426,19011,7691,7416,6544,872,0,0,0,60,49,166,7691,7525,1291,2675,1048,1044,924,442,101,166,283,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,155,0,0,0,0,0,155,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,0,109,78,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19998,2357,17641,8787,11875
05000US01015,"Calhoun County, Alabama",115883,612.2863,605.8891,6.397164,115883,55742,60141,115883,6529,7450,7034,4628,11581,14765,14033,15523,15879,10817,5673,1971,115883,86777,23791,382,1079,6,1221,2627,45071,30700,21493,9207,1805,7402,14371,6588,7783,78661,13894,64767,39539,13886,5639,1501,641,6167,344,5823,93229,53539,311,53228,47010,6218,39690,22231,45797,43340,38921,4419,102,127,15,632,380,1201,45797,44596,6586,13631,10330,7170,3935,1649,1295,1201,2774,487,144,87,4,83,0,33,24,277,2,0,250,25,0,3,0,3,0,0,0,63,0,0,0,0,20,26,17,0,0,0,0,746,278,49,49,0,0,28,201,0,173,0,0,55,0,14,104,218,0,0,0,142,73,3,0,77,65,0,0,0,0,0,12,0,120,71,0,17,54,0,11,0,11,0,0,0,38,0,0,38,0,0,9,9,9,0,0,1412,1363,123,0,13,0,45,22,26,17,1110,915,0,39,115,0,0,41,0,130,0,5,0,0,80,20,0,25,0,0,0,49,49,0,114387,12415,101972,45795,75731
05000US01017,"Chambers County, Alabama",34018,603.1137,596.5314,6.582318,34018,16299,17719,34018,2049,1922,2010,1302,2881,3941,4078,4781,4799,3615,1692,948,34018,19417,13779,78,312,0,42,390,13851,8654,5778,2876,710,2166,5197,2353,2844,23854,4708,19146,9745,2978,892,268,65,1388,85,1303,27454,15191,24,15167,14031,1136,12263,21532,13846,13374,12190,1184,34,0,0,94,44,300,13846,13546,1177,4890,2837,2703,1250,469,220,300,337,11,0,0,0,0,0,0,0,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,195,0,0,0,0,1,194,0,65,0,0,65,0,0,0,15,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,10,0,0,0,0,10,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33647,3979,29668,14463,19834
05000US01019,"Cherokee County, Alabama",25897,599.9776,553.7199,46.25766,25897,12883,13014,25897,1267,1405,1671,983,1877,2468,3048,3808,4107,3294,1606,363,25897,24156,1209,152,109,0,2,269,10999,7919,6307,1612,373,1239,3080,1482,1598,18694,3499,15195,8473,2610,1147,381,102,1179,81,1098,21248,10827,0,10827,10193,634,10421,22544,9952,9623,8419,1204,54,6,0,59,22,188,9952,9764,1563,2320,1146,2154,1669,707,205,188,188,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0,0,8,0,0,73,21,21,21,0,0,0,0,0,39,0,0,39,0,0,0,13,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,34,0,0,0,0,0,0,0,0,19,12,0,2,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,65,65,0,25566,2417,23149,10858,17082
