Geo_GEOID,SE_T004_001,SE_T017_001
14000US01001020100,2010,740
14000US01001020200,2196,838
14000US01001020300,3136,1223
14000US01001020400,4563,1776
14000US01001020500,10529,4289
14000US01001020600,3742,1327
14000US01001020700,3047,1167
14000US01001020801,3025,1080
14000US01001020802,10743,3997
14000US01001020900,5912,2109
14000US01001021000,2899,1007
14000US01001021100,3247,1247
14000US01003010100,4013,1480
14000US01003010200,3067,1086
14000US01003010300,8079,2628
14000US01003010400,4578,1608
14000US01003010500,5115,1705
14000US01003010600,3503,1213
14000US01003010701,7938,3023
14000US01003010703,17062,6019
14000US01003010704,6004,1884
14000US01003010705,9435,3831
14000US01003010800,7686,2748
14000US01003010903,5953,1772
14000US01003010904,6523,2323
14000US01003010905,8055,3199
14000US01003010906,5272,1620
14000US01003011000,3885,1517
14000US01003011101,9685,3675
14000US01003011102,4578,1607
14000US01003011201,5023,1951
14000US01003011202,6085,2178
14000US01003011300,4621,1794
14000US01003011401,10021,3848
14000US01003011403,9933,4388
14000US01003011405,4078,1836
14000US01003011406,3810,1493
14000US01003011407,4970,2317
14000US01003011408,719,293
14000US01003011501,5947,2457
14000US01003011502,11575,4911
14000US01003011601,6640,2318
14000US01003011602,5657,2427
14000US01003990000,0,0
14000US01005950100,3477,1304
14000US01005950200,4404,1078
14000US01005950300,1657,626
14000US01005950400,3693,1012
14000US01005950500,3438,1280
14000US01005950600,2003,752
14000US01005950700,1959,632
14000US01005950800,2195,925
14000US01005950900,3788,1513
14000US01007010001,2783,943
14000US01007010002,6562,2073
14000US01007010003,4824,1696
14000US01007010004,8403,2336
14000US01009050101,7864,2819
14000US01009050102,7202,2575
14000US01009050200,3317,1278
14000US01009050300,5025,1902
14000US01009050400,4689,1809
14000US01009050500,7250,2483
14000US01009050601,3962,1335
14000US01009050602,9550,3330
14000US01009050700,8845,3088
14000US01011952100,1738,617
14000US01011952200,5660,1799
14000US01011952500,3154,1140
14000US01013952700,2142,848
14000US01013952800,1479,632
14000US01013952900,2342,804
14000US01013953000,1489,576
14000US01013953100,2981,1031
14000US01013953200,4006,1606
14000US01013953300,1791,690
14000US01013953400,2754,1006
14000US01013953500,1296,482
14000US01015000200,3034,1407
14000US01015000300,2509,1149
14000US01015000400,2711,1062
14000US01015000500,1444,664
14000US01015000600,1908,650
14000US01015000700,2774,1145
14000US01015000800,1166,433
14000US01015000900,3905,1681
14000US01015001000,6162,2578
14000US01015001100,7060,2905
14000US01015001201,3209,1241
14000US01015001202,4151,1550
14000US01015001300,2305,790
14000US01015001400,2955,1260
14000US01015001500,4665,1656
14000US01015001600,3621,1406
14000US01015001700,6614,2537
14000US01015001800,6418,2498
14000US01015002000,6988,2667
14000US01015002101,3611,1066
14000US01015002102,3285,1309
14000US01015002103,6975,2605
14000US01015002200,3442,1358
14000US01015002300,3677,1540
14000US01015002400,4494,1669
14000US01015002501,7522,2811
14000US01015002502,4467,1700
14000US01015002600,4807,1730
14000US01015981901,4,4
14000US01015981902,0,0
14000US01015981903,0,0
14000US01017953800,3930,1507
14000US01017953900,3045,1260
14000US01017954000,6321,2706
14000US01017954200,3197,1368
14000US01017954300,4839,2099
14000US01017954400,891,472
14000US01017954500,4116,1520
14000US01017954600,3057,1157
14000US01017954700,4622,1762
14000US01019955701,3557,1516
14000US01019955702,3616,1638
14000US01019955800,5298,2152
14000US01019955900,4594,1826
14000US01019956000,4397,1913
14000US01019956100,4435,1954
14000US01021060101,4718,1867
14000US01021060102,6755,2497
14000US01021060200,2887,1131
14000US01021060300,3864,1399
14000US01021060401,5712,2124
14000US01021060402,8735,3216
14000US01021060500,2988,1206
14000US01021060600,3148,1139
14000US01021060700,5010,2040
14000US01023956700,2998,1281
14000US01023956800,4339,1901
14000US01023956900,3767,1489
14000US01023957000,2183,891
14000US01025957500,1207,572
14000US01025957601,1086,354
14000US01025957602,5203,2120
14000US01025957700,1556,540
14000US01025957800,4744,2009
14000US01025957901,3888,1444
14000US01025957902,4189,1484
14000US01025958001,1158,451
14000US01025958002,1816,580
14000US01027958900,5113,2059
14000US01027959000,3386,1438
14000US01027959100,2612,1059
14000US01027959200,2372,807
14000US01029959500,2677,1045
14000US01029959600,3835,1554
14000US01029959700,3670,1400
14000US01029959800,4809,1835
14000US01031010100,2117,788
14000US01031010200,1677,696
14000US01031010300,4823,1793
14000US01031010400,1774,766
14000US01031010500,4489,1620
14000US01031010600,1585,603
14000US01031010700,2317,872
14000US01031010800,2816,1138
14000US01031010900,2380,885
14000US01031011000,3508,1243
14000US01031011100,2077,793
14000US01031011201,8827,3343
14000US01031011202,8264,3199
14000US01031011300,4337,1636
14000US01033020100,3637,1500
14000US01033020200,2227,927
14000US01033020300,1655,863
14000US01033020400,1520,615
14000US01033020500,5191,2034
14000US01033020600,4037,1796
14000US01033020701,6001,2488
14000US01033020703,5333,2106
14000US01033020704,4519,1868
14000US01033020801,4380,1703
14000US01033020802,3642,1446
14000US01033020901,4434,1628
14000US01033020902,3789,1494
14000US01033021000,4012,1637
14000US01035960200,1729,744
14000US01035960300,1539,593
14000US01035960400,3532,1437
14000US01035960500,1807,734
14000US01035960600,4090,1582
14000US01037961000,3751,1362
14000US01037961100,3558,1387
14000US01037961200,3555,1457
14000US01039961600,4016,1658
14000US01039961700,4518,1752
14000US01039961800,3121,1156
14000US01039961900,2263,865
14000US01039962000,3934,1716
14000US01039962100,2060,799
14000US01039962300,2957,1201
14000US01039962400,2993,1309
14000US01039962500,1463,570
14000US01039962600,1574,586
14000US01039962700,1679,637
14000US01039962800,1874,693
14000US01039962900,1859,817
14000US01039963000,3418,1420
14000US01041963400,1929,782
14000US01041963500,1969,706
14000US01041963600,3098,1225
14000US01041963700,3733,1455
14000US01041963800,1730,694
14000US01041963900,1437,564
14000US01043964100,5558,2275
14000US01043964200,7336,2817
14000US01043964300,4846,1855
14000US01043964400,4487,1612
14000US01043964500,4576,1725
14000US01043964600,3895,1357
14000US01043964700,5168,1796
14000US01043964800,4641,1786
14000US01043964900,6177,2429
14000US01043965000,6018,2528
14000US01043965100,3661,1395
14000US01043965200,2549,938
14000US01043965300,4569,1827
14000US01043965401,3055,1095
14000US01043965402,3995,1577
14000US01043965500,5681,2112
14000US01043965600,2282,911
14000US01043965700,2822,1046
14000US01045020000,4681,1153
14000US01045020100,3615,1437
14000US01045020200,2293,865
14000US01045020300,2321,926
14000US01045020400,2275,959
14000US01045020500,2033,855
