Geo_GEOID,Geo_NAME,SE_T004_001,SE_T017_001
04000US01,Alabama,4841164,1851061
04000US02,Alaska,736855,250235
04000US04,Arizona,6728577,2448919
04000US05,Arkansas,2968472,1141480
04000US06,California,38654206,12807387
04000US08,Colorado,5359295,2051616
04000US09,Connecticut,3588570,1354713
04000US10,Delaware,934695,348051
04000US11,District of Columbia,659009,276546
04000US12,Florida,19934451,7393262
04000US13,Georgia,10099320,3611706
04000US15,Hawaii,1413673,452030
04000US16,Idaho,1635483,596107
04000US17,Illinois,12851684,4802124
04000US18,Indiana,6589578,2513828
04000US19,Iowa,3106589,1242641
04000US20,Kansas,2898292,1115858
04000US21,Kentucky,4411989,1718217
04000US22,Louisiana,4645670,1731398
04000US23,Maine,1329923,551109
04000US24,Maryland,5959902,2177492
04000US25,Massachusetts,6742143,2558889
04000US26,Michigan,9909600,3860394
04000US27,Minnesota,5450868,2135310
04000US28,Mississippi,2989192,1098803
04000US29,Missouri,6059651,2372362
04000US30,Montana,1023391,412653
04000US31,Nebraska,1881259,741581
04000US32,Nevada,2839172,1030701
04000US33,New Hampshire,1327503,521373
04000US34,New Jersey,8915456,3195014
04000US35,New Mexico,2082669,762551
04000US36,New York,19697457,7266187
04000US37,North Carolina,9940828,3815392
04000US38,North Dakota,736162,305163
04000US39,Ohio,11586941,4601449
04000US40,Oklahoma,3875589,1461500
04000US41,Oregon,3982267,1545745
04000US42,Pennsylvania,12783977,4961929
04000US44,Rhode Island,1054491,410240
04000US45,South Carolina,4834605,1839041
04000US46,South Dakota,851058,333536
04000US47,Tennessee,6548009,2522204
04000US48,Texas,26956435,9289554
04000US49,Utah,2948427,918367
04000US50,Vermont,626249,257107
04000US51,Virginia,8310301,3090178
04000US53,Washington,7073146,2696606
04000US54,West Virginia,1846092,739397
04000US55,Wisconsin,5754798,2310246
04000US56,Wyoming,583029,226985
04000US72,Puerto Rico,3529385,1237180
