Geo_GEOID,Geo_NAME,SE_T152_001,SE_T152_002,SE_T152_003,SE_T152_004,SE_T152_005,SE_T152_006,SE_T152_007,SE_T152_008,SE_T035_001,SE_T035_002,SE_T035_003,SE_T035_004,SE_T035_005,SE_T035_006,SE_T035_007,SE_T052_001,SE_T052_002,SE_T052_003,SE_T052_004,SE_T052_005,SE_T052_006,SE_T052_007,SE_T052_008,SE_T052_009,SE_T052_010,SE_T052_011,SE_T052_012,SE_T052_013,SE_T052_014,SE_T139_001,SE_T139_002,SE_T139_003,SE_T139_004,SE_T139_005,SE_T139_006,SE_T139_007,SE_T139_008,SE_T139_009,SE_T139_010,SE_T139_011,SE_T139_012,SE_T139_013,SE_T139_014,SE_T139_015,SE_T139_016,SE_T139_017,SE_T139_018,SE_T139_019,SE_T139_020,SE_T139_021,SE_T139_022,SE_T139_023,SE_T139_024,SE_T139_025,SE_T139_026,SE_T139_027,SE_T139_028,SE_T139_029,SE_T139_030,SE_T139_031,SE_T139_032,SE_T139_033,SE_T139_034,SE_T139_035,SE_T139_036,SE_T139_037,SE_T139_038,SE_T139_039,SE_T139_040,SE_T139_041,SE_T139_042,SE_T139_043,SE_T139_044,SE_T139_045,SE_T139_046,SE_T139_047,SE_T139_048,SE_T139_049,SE_T139_050,SE_T139_051,SE_T139_052,SE_T139_053,SE_T139_054,SE_T139_055,SE_T139_056,SE_T139_057,SE_T139_058,SE_T139_059,SE_T139_060,SE_T139_061,SE_T139_062,SE_T139_063,SE_T139_064,SE_T139_065,SE_T139_066,SE_T139_067,SE_T139_068,SE_T139_069,SE_T139_070,SE_T139_071,SE_T139_072,SE_T139_073,SE_T139_074,SE_T139_075,SE_T139_076,SE_T139_077,SE_T139_078,SE_T139_079,SE_T139_080,SE_T139_081,SE_T139_082,SE_T139_083,SE_T139_084,SE_T139_085,SE_T139_086,SE_T139_087,SE_T139_088,SE_T139_089,SE_T139_090,SE_T139_091,SE_T139_092,SE_T139_093,SE_T139_094,SE_T139_095,SE_T139_096,SE_T139_097,SE_T139_098,SE_T139_099,SE_T139_100,SE_T139_101,SE_T139_102,SE_T139_103,SE_T139_104,SE_T139_105,SE_T139_106,SE_T139_107,SE_T139_108,SE_T139_109,SE_T139_110,SE_T139_111,SE_T139_112,SE_T139_113,SE_T139_114,SE_T139_115,SE_T139_116,SE_T139_117,SE_T139_118,SE_T139_119,SE_T139_120,SE_T139_121,SE_T139_122,SE_T139_123,SE_T001_001,SE_T017_001
04000US01,Alabama,1717785,243943,1473842,958171,416417,156803,32793,12818,2016206,1064636,1460,1063176,972492,90684,951570,972492,114584,258171,40584,9227,64559,30498,49244,117869,203883,1541,7527,52181,22624,165504,17831,4324,3896,1252,2217,427,207,221,8252,213,735,6646,409,249,1216,376,374,109,345,12,4028,46,227,190,371,510,1258,706,80,60,580,11,51167,19654,8971,7695,341,935,1649,9034,0,13537,48,724,9491,990,1360,924,13793,429,392,909,4932,1117,5576,438,3720,275,295,605,130,486,7,1922,463,7586,2584,546,1150,888,441,1049,511,538,465,445,20,2377,289,274,1201,613,670,829,540,398,142,289,88091,84566,6748,209,1607,448,1275,1891,435,883,72382,54340,237,2163,10941,2888,559,1122,132,5436,230,89,580,405,1529,346,421,809,107,766,154,3525,3377,148,4841164,1851061
04000US02,Alaska,226450,17242,209208,153786,72272,25418,5815,2078,270077,176859,1917,174942,163092,11850,93218,163092,23319,46088,6339,1856,10339,4789,10410,15100,36005,426,1686,3386,3349,55247,8299,1540,979,365,493,121,100,461,2012,126,174,1500,72,140,367,168,123,8,63,5,4349,15,101,81,434,219,1664,663,99,95,978,31,30817,5950,1408,1145,109,154,775,3741,26,1791,0,345,727,64,79,576,22578,103,45,1351,17323,2612,1000,144,380,2,4,71,20,158,8,117,118,1993,753,127,43,583,132,238,14,224,75,75,0,503,72,0,218,213,292,1620,332,204,128,1288,12518,9956,2230,0,209,1376,226,111,78,230,5545,3873,112,731,228,249,123,157,72,2181,114,34,189,195,783,120,13,515,30,64,124,2562,2562,0,736855,250235
04000US04,Arizona,2269405,300919,1968486,1418345,623064,227583,50263,20796,2680314,1459311,2372,1456939,1343209,113730,1221003,1343209,184280,332687,48677,17303,95954,50204,90326,161800,288857,3563,7953,33376,28229,901527,83110,21635,17072,6458,8909,1705,1869,2694,23298,931,3072,15677,1960,1658,7634,1181,4045,758,1532,118,30316,1037,1213,1645,5482,5296,4097,1842,3733,1266,4705,227,173287,41316,24792,18809,2306,3677,5261,11209,54,47200,1340,1502,32873,6394,1627,3464,61278,1656,1313,1610,28325,4420,19689,4265,22859,10162,2202,1643,1756,1071,170,5855,634,26147,8972,1877,1843,5252,2170,4939,1741,3198,2284,2077,207,5631,980,978,2305,1368,2151,5327,2866,1698,1168,2461,613656,569769,12084,144,6147,1272,929,1599,1142,851,539469,510855,877,9064,11660,3936,1465,1094,518,18216,1804,610,2246,1255,4485,1626,614,3485,540,1296,255,43887,43817,70,6728577,2448919
04000US05,Arkansas,1025031,143096,881935,543280,227235,81074,16296,6863,1204547,640719,577,640142,598049,42093,563828,598049,68391,160168,29175,4952,41630,19176,30979,69426,122659,1857,3391,33322,12923,139034,10319,2746,2260,1079,932,249,143,343,3926,86,599,2834,219,188,636,58,292,35,248,3,2952,14,187,76,351,483,649,442,58,93,599,59,32191,7308,4703,3820,172,711,937,1617,51,10821,11,492,8439,437,838,604,11898,271,247,2817,3348,937,3730,548,1963,271,83,80,352,170,0,1007,201,2754,657,178,129,350,182,496,221,275,478,448,30,832,235,21,444,132,109,4395,327,248,79,4068,89375,87026,1511,22,505,270,105,242,211,156,81449,62315,209,11263,4337,2379,525,344,77,4066,396,693,456,137,996,391,15,698,25,249,10,2349,2308,41,2968472,1141480
04000US06,California,13069173,2298418,10770755,8140449,4160815,1498353,425497,155738,15494178,8858641,15493,8843148,8062838,780310,6635537,8062838,1215547,2047504,278309,70561,487045,301941,640481,932260,1526276,80436,35323,271685,175470,10437503,673655,175764,128613,56304,61983,10326,18358,28793,158627,7692,36465,80371,17975,16124,84443,12148,30313,26107,14675,1200,253318,5211,9815,11940,21373,25480,66098,55170,5063,4433,48735,1503,3952521,1285550,847021,575268,98957,172796,106786,327853,3890,764364,27590,14267,436290,204670,45900,35647,1618972,58228,39359,55700,836303,69434,509169,50779,273339,43842,31916,32392,25146,17120,71164,51759,10296,176701,56631,24253,10505,21873,5955,50914,35843,15071,17837,17625,212,37178,6053,2307,23302,5516,8186,78641,27542,20163,7379,51099,5555985,5423209,71495,1194,33902,5898,4324,13924,7525,4728,5096993,4227816,11901,427110,274170,62374,64797,9226,19599,254721,33417,8724,36735,16393,41724,23517,3974,74115,2920,9355,3847,132776,132101,675,38654206,12807387
04000US08,Colorado,1810963,152291,1658672,1274032,705419,259604,58135,24291,2125602,1332017,4476,1327541,1248979,78562,793585,1248979,205301,341559,47651,11702,84476,42616,73336,141901,239269,2730,7866,27412,23160,524444,73200,17176,13857,6313,6488,1056,975,2344,22729,1238,2264,15905,1734,1588,4757,993,1838,299,1598,29,28369,340,2412,1005,3627,1828,7116,3778,1387,214,6662,169,120437,41232,20700,16673,1071,2956,4089,15655,788,31124,1152,512,18355,2856,1214,7035,39174,1817,1754,2665,9766,3909,16656,2607,8769,1570,1158,768,380,976,554,3363,138,31710,13768,8579,1251,3938,2146,4228,779,3449,2381,2331,50,7526,2914,620,2246,1746,1661,4590,3379,2320,1059,1211,294507,279688,6823,158,1992,634,688,2065,626,660,252825,230002,598,8710,6198,4575,1355,1044,343,20040,2335,525,2413,1247,4454,784,143,5068,167,2469,435,14819,14787,32,5359295,2051616
04000US09,Connecticut,1291595,122067,1169528,831217,492139,218769,47791,16471,1507425,944266,1023,943243,872512,70731,563159,872512,130353,265276,46370,6545,46678,23939,54174,91750,160615,1233,3277,27427,14875,503193,128980,21051,14948,6577,6883,1488,3728,2375,15656,772,3036,8702,1415,1731,34947,4564,18570,10282,1488,43,57103,799,1505,1734,25395,2872,5475,4811,2901,457,11154,223,122688,34239,23135,19072,1809,2254,3193,7911,0,53325,904,3705,38324,1542,5695,3155,24527,1975,357,2356,10309,1474,6250,1806,10498,993,1241,1087,1056,2238,66,3817,99,21617,2666,631,542,1493,951,4333,1866,2467,1622,1497,125,10334,4282,777,2685,2590,1711,1596,1491,1247,244,105,228312,213929,79117,1141,3334,18834,13694,34822,2126,5166,57913,27277,1715,5665,14989,6048,1372,622,225,76899,3404,307,15682,1625,14956,18696,3641,14556,969,2406,657,14383,14203,180,3588570,1354713
04000US10,Delaware,337152,33759,303393,200472,103476,42010,9151,4079,392898,232902,455,232447,217004,15443,159996,217004,33425,60531,9709,2231,14742,6382,11251,23395,44050,306,932,5578,4472,82550,10190,2751,2111,791,1007,313,394,246,2510,128,368,1620,181,213,2185,458,1263,107,344,13,2744,98,243,53,529,199,485,331,67,75,664,0,27957,8894,6623,5804,85,734,364,1907,0,12662,128,264,9890,571,1436,373,4682,183,117,98,2615,266,1284,119,1580,54,142,138,89,521,41,595,139,9058,2455,107,1846,502,449,805,629,176,254,227,27,4475,1286,969,1313,907,620,84,65,51,14,19,35261,34189,8384,97,618,1572,2616,2121,934,426,21900,15377,40,774,4335,787,167,324,96,3905,299,6,303,134,1184,369,828,420,50,229,83,1072,968,104,934695,348051
04000US11,District of Columbia,245447,23933,221514,176328,132896,77516,26807,8513,294829,197478,532,196946,180037,16909,97351,180037,45557,63346,4229,4294,7463,6825,6950,12333,25487,62,553,910,2028,92513,16681,4376,2939,1988,880,71,619,818,5227,254,2260,1908,322,483,2751,214,1112,114,1304,7,4292,157,217,171,420,440,1181,414,109,167,1016,35,17991,6113,4048,3298,254,496,800,1254,11,5020,16,271,2614,768,459,892,4639,32,181,8,2329,368,1237,484,2145,68,323,227,116,482,124,805,74,14583,7550,5845,368,1337,1072,1121,398,723,529,444,85,3583,567,178,1629,1209,728,1026,961,821,140,65,42232,40088,8415,107,637,2409,545,2692,1332,693,21852,3071,346,12693,3317,1586,378,286,175,9821,950,567,1698,467,1900,478,899,1593,239,603,427,2144,2137,7,659009,276546
04000US12,Florida,7340475,884605,6455870,4315637,2009122,704672,174414,64645,8435122,4587837,8721,4579116,4199532,379584,3847285,4199532,562632,1028025,194911,51954,301134,189432,213390,573266,875668,14159,24930,90593,79438,3967473,385361,99259,77978,32185,38689,7104,8237,13044,89817,3681,17020,54596,7414,7106,69994,10629,30470,9124,19284,487,125408,2663,7407,8798,21792,11785,21830,13013,7339,2977,27804,883,422170,91736,59376,46885,4750,7741,10168,21916,276,116832,1432,8064,76842,9935,14065,6494,158657,3924,2529,4273,78786,12080,50141,6924,51670,3677,13521,7804,4169,9161,856,12482,3275,67328,13092,2802,2865,7425,1737,23419,11064,12355,10632,10422,210,15105,2453,932,8274,3446,3343,7371,6177,4530,1647,1194,3085243,2973577,1644876,6234,915378,114983,304928,208458,42771,52124,624207,266247,17493,42030,76139,91726,104428,21056,5088,704494,48981,9166,72116,18555,244243,48013,33934,89757,13083,120750,5896,111666,110632,1034,19934451,7393262
04000US13,Georgia,3457110,449322,3007788,2070691,1033763,398514,100598,37894,4089207,2372810,5371,2367439,2160331,207108,1716397,2160331,308269,564909,78575,25940,147272,68608,100178,267282,429300,5719,14327,89715,60237,994620,89980,22604,17770,7774,8801,1195,1612,3222,25291,797,3515,17045,2051,1883,6179,1127,2445,817,1666,124,35668,722,1263,963,2609,5796,7964,4471,4352,253,7275,238,287737,86422,37044,29486,1729,5829,7130,42198,50,112143,2004,5223,79659,6386,10741,8130,74623,2737,2598,4673,16351,4679,37502,6083,13825,2192,2102,1987,1335,1945,275,3989,724,89988,28437,13595,6725,8117,5177,5452,2181,3271,5240,5045,195,38514,7822,3818,19182,7692,7168,3384,2192,1791,401,1192,523531,504808,91428,1834,11423,9868,14738,36723,7123,9719,350801,264358,2559,25550,29178,18947,3650,5636,923,62579,2756,453,10309,2003,21041,2899,6542,7812,1906,5949,909,18723,17974,749,10099320,3611706
04000US15,Hawaii,494121,45079,449042,317874,161459,54400,15647,5942,569662,341309,4372,336937,319222,17715,228353,319222,42467,76697,12285,3453,25188,15858,15204,46316,64276,1529,2098,6440,7411,253551,11167,2840,1920,983,814,123,205,715,4497,230,821,2731,305,410,931,59,454,228,172,18,2899,82,419,193,398,203,549,153,120,66,716,0,200083,64560,24568,17996,3763,2809,23593,16232,167,2734,56,137,1382,371,149,639,132154,459,633,1291,116532,2076,10052,1111,609,46,154,99,103,34,10,163,26,1693,499,97,72,330,15,222,153,69,469,461,8,488,166,54,180,88,0,24877,1655,768,887,23222,15731,11547,1238,17,196,156,151,335,129,254,6670,5271,152,288,284,201,253,165,56,3639,602,33,1295,162,553,119,158,399,16,212,90,4184,4171,13,1413673,452030
04000US16,Idaho,529978,49123,480855,336788,134323,38594,8889,3612,628775,355313,660,354653,332599,22054,273462,332599,38461,84189,16791,2741,25423,10694,22336,35584,72181,3228,1937,10610,8424,97736,13401,2485,1975,516,1245,214,125,385,4263,143,499,2796,497,328,924,50,168,199,494,13,5729,234,211,90,204,522,785,963,1694,40,986,0,18193,5635,3542,2874,243,425,904,1153,36,3253,408,27,1550,217,74,977,6733,50,259,655,2734,573,1360,1102,2563,574,53,40,53,96,0,1747,9,2842,779,173,16,590,525,351,71,280,220,212,8,771,115,117,412,127,196,947,514,418,96,433,62353,57328,461,0,79,71,138,98,43,32,53313,50737,130,1120,1010,182,57,49,28,3554,278,39,462,204,501,303,6,1398,0,158,205,5025,5002,23,1635483,596107
