Geo_GEOID,Geo_NAME,SE_T152_001,SE_T152_002,SE_T152_003,SE_T152_004,SE_T152_005,SE_T152_006,SE_T152_007,SE_T152_008,SE_T035_001,SE_T035_002,SE_T035_003,SE_T035_004,SE_T035_005,SE_T035_006,SE_T035_007,SE_T052_001,SE_T052_002,SE_T052_003,SE_T052_004,SE_T052_005,SE_T052_006,SE_T052_007,SE_T052_008,SE_T052_009,SE_T052_010,SE_T052_011,SE_T052_012,SE_T052_013,SE_T052_014,SE_T139_001,SE_T139_002,SE_T139_003,SE_T139_004,SE_T139_005,SE_T139_006,SE_T139_007,SE_T139_008,SE_T139_009,SE_T139_010,SE_T139_011,SE_T139_012,SE_T139_013,SE_T139_014,SE_T139_015,SE_T139_016,SE_T139_017,SE_T139_018,SE_T139_019,SE_T139_020,SE_T139_021,SE_T139_022,SE_T139_023,SE_T139_024,SE_T139_025,SE_T139_026,SE_T139_027,SE_T139_028,SE_T139_029,SE_T139_030,SE_T139_031,SE_T139_032,SE_T139_033,SE_T139_034,SE_T139_035,SE_T139_036,SE_T139_037,SE_T139_038,SE_T139_039,SE_T139_040,SE_T139_041,SE_T139_042,SE_T139_043,SE_T139_044,SE_T139_045,SE_T139_046,SE_T139_047,SE_T139_048,SE_T139_049,SE_T139_050,SE_T139_051,SE_T139_052,SE_T139_053,SE_T139_054,SE_T139_055,SE_T139_056,SE_T139_057,SE_T139_058,SE_T139_059,SE_T139_060,SE_T139_061,SE_T139_062,SE_T139_063,SE_T139_064,SE_T139_065,SE_T139_066,SE_T139_067,SE_T139_068,SE_T139_069,SE_T139_070,SE_T139_071,SE_T139_072,SE_T139_073,SE_T139_074,SE_T139_075,SE_T139_076,SE_T139_077,SE_T139_078,SE_T139_079,SE_T139_080,SE_T139_081,SE_T139_082,SE_T139_083,SE_T139_084,SE_T139_085,SE_T139_086,SE_T139_087,SE_T139_088,SE_T139_089,SE_T139_090,SE_T139_091,SE_T139_092,SE_T139_093,SE_T139_094,SE_T139_095,SE_T139_096,SE_T139_097,SE_T139_098,SE_T139_099,SE_T139_100,SE_T139_101,SE_T139_102,SE_T139_103,SE_T139_104,SE_T139_105,SE_T139_106,SE_T139_107,SE_T139_108,SE_T139_109,SE_T139_110,SE_T139_111,SE_T139_112,SE_T139_113,SE_T139_114,SE_T139_115,SE_T139_116,SE_T139_117,SE_T139_118,SE_T139_119,SE_T139_120,SE_T139_121,SE_T139_122,SE_T139_123,SE_T001_001,SE_T017_001
05000US01001,"Autauga County, Alabama",19235,2239,16996,10122,4460,1957,414,116,22074,12157,16,12141,11380,761,9917,11380,1231,3138,475,91,581,170,858,1329,2564,0,11,595,337,1012,154,32,32,21,11,0,0,0,98,0,23,75,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,327,97,84,84,0,0,13,0,0,0,0,0,0,0,0,0,230,0,35,0,58,18,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,73,73,0,0,458,441,62,0,20,0,0,24,12,6,327,256,0,59,12,0,0,0,0,52,0,0,0,0,52,0,0,0,0,0,0,17,17,0,55049,20800
05000US01003,"Baldwin County, Alabama",72879,6135,66744,46602,21824,7899,1762,547,82813,43808,40,43768,40933,2835,39005,40933,4863,10980,1105,243,3227,1238,2225,6905,8195,23,387,1031,511,6523,1216,333,285,90,160,35,33,15,467,10,91,338,28,0,51,24,27,0,0,0,365,0,67,22,77,82,25,38,0,0,54,0,1210,561,436,403,33,0,34,91,0,237,0,0,137,12,0,88,408,0,0,0,212,0,162,34,4,4,0,0,0,0,0,0,0,153,142,0,38,104,0,0,0,0,9,9,0,0,0,0,0,0,2,47,47,18,29,0,3897,3677,514,0,4,11,0,179,101,219,2457,2008,0,23,228,19,16,163,0,706,7,0,162,104,141,153,0,10,0,129,0,220,220,0,199510,75149
05000US01005,"Barbour County, Alabama",8606,1953,6653,3785,1215,607,111,24,9938,4784,0,4784,4202,582,5154,4202,468,1050,177,27,261,137,102,444,779,15,30,519,193,761,68,32,32,0,32,0,0,0,29,0,0,29,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,52,19,0,0,0,0,0,19,0,21,0,16,0,0,5,0,12,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,641,9,0,4,0,0,5,0,0,618,441,0,6,153,18,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,26614,9122
05000US01007,"Bibb County, Alabama",7282,1314,5968,2936,1044,579,75,31,8514,3908,0,3908,3538,370,4606,3538,187,804,273,7,166,198,207,287,813,20,155,102,319,305,43,0,0,0,0,0,0,0,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,248,8,0,8,0,0,0,0,0,183,88,0,21,74,0,0,0,0,57,0,0,0,0,57,0,0,0,0,0,0,0,0,0,22572,7048
05000US01009,"Blount County, Alabama",20262,3844,16418,10263,2986,989,194,66,23370,10061,0,10061,9424,637,13309,9424,1168,2683,374,50,468,172,458,781,2490,18,46,578,138,2465,109,48,48,16,13,19,0,0,37,0,0,37,0,0,13,0,13,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,142,57,34,22,0,12,0,23,0,17,0,3,0,0,0,14,17,0,0,0,16,1,0,0,51,0,0,2,0,0,0,49,0,63,13,0,13,0,0,22,0,22,14,14,0,14,0,0,14,0,0,0,0,0,0,0,2151,2127,56,0,27,0,0,0,0,29,2059,1983,0,0,76,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,24,24,0,57704,20619
05000US01011,"Bullock County, Alabama",3243,983,2260,1373,434,257,8,2,3845,2028,0,2028,1805,223,1817,1805,146,232,145,17,63,81,68,320,294,27,0,389,23,160,23,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,0,0,0,0,0,23,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10552,3556
05000US01013,"Butler County, Alabama",7686,1347,6339,3458,1337,574,137,61,8785,4491,5,4486,4031,455,4294,4031,440,950,254,60,295,90,112,459,752,15,89,471,44,283,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,155,0,0,0,0,0,155,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,109,0,0,0,0,0,0,0,0,109,78,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20280,7675
05000US01015,"Calhoun County, Alabama",41795,7510,34285,20990,7489,3225,661,267,49105,25677,0,25677,22438,3239,23428,22438,1938,5634,948,274,1542,839,1096,3040,4368,57,300,1745,657,2774,487,144,87,4,83,0,33,24,277,2,0,250,25,0,3,0,3,0,0,0,63,0,0,0,0,20,26,17,0,0,0,0,746,278,49,49,0,0,28,201,0,173,0,0,55,0,14,104,218,0,0,0,142,73,3,0,77,65,0,0,0,0,0,12,0,120,71,0,17,54,0,11,0,11,0,0,0,38,0,0,38,0,0,9,9,9,0,0,1412,1363,123,0,13,0,45,22,26,17,1110,915,0,39,115,0,0,41,0,130,0,5,0,0,80,20,0,25,0,0,0,49,49,0,115883,45071
05000US01017,"Chambers County, Alabama",12701,2416,10285,5411,1389,481,106,31,14509,7287,14,7273,6696,577,7222,6696,676,1139,156,19,360,150,297,951,1704,2,112,909,221,337,11,0,0,0,0,0,0,0,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,195,0,0,0,0,1,194,0,65,0,0,65,0,0,0,15,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,10,0,0,0,0,10,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34018,13851
05000US01019,"Cherokee County, Alabama",9527,1839,7688,4623,1466,715,95,15,10781,4772,0,4772,4521,251,6009,4521,335,1481,282,62,334,30,207,382,801,19,31,416,141,188,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,0,0,0,0,8,0,0,73,21,21,21,0,0,0,0,0,39,0,0,39,0,0,0,13,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,34,0,0,0,0,0,0,0,0,19,12,0,2,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0,65,65,0,25897,10999
