countyid,blockgroups,tracts
15000US17191,18,5
15000US17193,15,5
15000US26099,626,217
15000US17195,62,18
15000US17197,392,152
15000US26095,7,4
15000US17199,55,15
15000US26097,13,6
15000US26091,81,23
15000US26093,112,60
15000US22089,33,12
15000US36061,1169,287
15000US36063,175,62
15000US22085,22,7
15000US36065,186,74
15000US36067,379,139
15000US36069,81,25
15000US53023,2,1
15000US38053,5,3
15000US22083,16,6
15000US13011,6,4
15000US17047,7,3
15000US13013,33,17
15000US17045,19,5
15000US13015,48,14
15000US17043,616,216
15000US13017,14,4
15000US12019,80,30
15000US13019,14,6
15000US12017,87,28
15000US12015,107,39
15000US12013,9,3
15000US12011,939,362
15000US38073,5,3
15000US50001,29,10
15000US49039,18,5
15000US39021,33,10
15000US49031,1,1
15000US49033,1,1
15000US49035,611,212
15000US49037,10,4
15000US45019,234,86
15000US13309,5,2
15000US26149,55,17
15000US13305,22,6
15000US45013,111,41
15000US13307,1,1
15000US45011,19,6
15000US13301,5,2
15000US45017,11,3
15000US13303,15,5
15000US45015,99,45
15000US39151,275,85
15000US39153,451,134
15000US39155,192,55
15000US39157,76,21
15000US39159,29,10
15000US41023,7,2
15000US41021,2,1
15000US41027,18,4
15000US41025,6,2
15000US41029,126,41
15000US27173,13,4
15000US47025,21,9
15000US18183,27,7
15000US18181,25,8
15000US13169,10,5
15000US08111,0,0
15000US51095,26,11
15000US08113,5,4
15000US51093,23,8
15000US08115,2,1
15000US51091,2,1
15000US08117,21,5
15000US13161,10,3
15000US08119,14,6
15000US13163,16,4
15000US22067,24,8
15000US13165,7,2
15000US22061,32,10
15000US13167,7,3
15000US22063,53,17
15000US51043,10,3
15000US36089,106,28
15000US36087,202,65
15000US36085,337,110
15000US36083,124,42
15000US36081,1745,668
15000US19109,17,6
15000US30039,2,1
15000US21045,13,4
15000US21043,19,7
15000US21041,9,3
15000US19101,12,4
15000US30031,59,22
15000US19103,71,24
15000US30033,0,0
15000US19105,17,5
15000US30035,14,4
15000US21049,25,10
15000US30037,0,0
15000US34027,294,100
15000US51127,9,3
15000US34025,468,144
15000US34023,522,175
15000US34021,241,76
15000US51049,7,2
15000US48143,28,8
15000US51570,10,5
15000US48141,512,161
15000US48147,29,9
15000US51125,11,3
15000US34029,377,126
15000US38081,5,2
15000US08029,23,7
15000US08025,3,1
15000US08027,3,1
15000US08021,5,2
15000US08023,3,2
15000US40007,6,3
15000US40005,11,4
15000US40003,4,3
15000US40001,17,5
15000US38085,3,2
15000US40009,17,4
15000US38069,4,2
15000US38087,0,0
15000US19075,11,4
15000US19077,9,3
15000US19071,7,3
15000US19073,8,4
15000US17049,24,8
15000US19079,16,5
15000US42069,180,59
15000US37119,554,233
15000US37113,27,9
15000US37111,30,10
15000US37117,20,6
15000US37115,15,6
15000US47095,6,2
15000US31149,1,1
15000US47097,23,9
15000US47091,11,4
15000US47093,241,111
15000US31143,4,2
15000US31141,27,7
15000US31147,6,3
15000US47099,29,11
15000US31145,11,3
15000US53015,88,23
15000US53017,28,8
15000US53011,279,104
15000US53013,4,1
15000US53019,6,2
15000US48363,23,9
15000US48361,64,21
15000US19159,5,2
15000US48367,54,19
15000US48365,20,6
15000US48369,8,2
15000US27041,24,9
15000US28063,6,2
15000US27043,17,6
15000US28061,12,4
15000US27045,22,6
15000US28067,51,14
15000US27047,30,10
15000US20029,11,4
15000US27049,36,10
15000US20027,8,2
15000US29045,6,3
15000US20025,1,1
15000US29043,35,14
15000US20023,3,1
15000US29041,8,3
15000US20021,20,6
15000US21099,15,5
15000US35047,23,7
15000US35045,96,33
15000US35043,71,28
15000US35041,16,5
15000US29199,6,2
15000US29195,23,8
15000US29197,4,2
15000US28117,19,5
15000US28115,18,6
15000US28113,29,8
15000US48219,17,6
15000US28111,9,3
15000US48217,23,11
15000US48215,338,113
15000US48213,53,17
15000US48211,3,1
15000US28119,8,3
15000US37079,12,4
15000US27139,60,21
15000US27135,12,5
15000US27137,209,67
15000US02282,0,0
15000US27133,8,3
15000US16071,2,1
15000US16073,9,3
15000US16075,14,4
15000US16077,6,2
15000US16079,17,3
15000US47119,49,17
15000US54021,8,2
15000US37071,172,65
15000US54023,9,3
15000US55003,17,7
15000US54025,30,7
15000US54027,15,5
15000US54029,30,8
15000US37073,9,3
15000US48503,16,4
15000US06063,21,7
15000US37075,7,3
15000US02198,9,4
15000US37077,31,13
15000US50015,14,7
15000US02195,3,1
15000US39039,35,9
15000US19089,9,3
15000US39033,47,13
15000US39031,32,10
15000US39037,51,12
15000US39035,1161,447
15000US24041,27,11
15000US06019,588,198
15000US24043,94,32
15000US24045,70,19
15000US24047,47,17
15000US06013,636,208
15000US38039,1,1
15000US06011,19,5
15000US06017,124,43
15000US06015,19,8
15000US22091,8,2
15000US22093,17,7
15000US22095,29,11
15000US17185,13,4
15000US26061,35,12
15000US22099,31,11
15000US17189,18,4
15000US26063,38,13
15000US50017,22,10
15000US26065,236,81
15000US12009,317,114
15000US17053,15,5
15000US17055,40,12
15000US17057,42,12
15000US12001,154,56
15000US12003,11,4
15000US26067,45,13
15000US12005,108,44
15000US12007,17,4
15000US26147,137,50
15000US51121,57,16
15000US48507,8,3
15000US36015,86,22
15000US21149,8,3
15000US26145,172,56
15000US01093,27,8
15000US01091,23,6
15000US01097,268,114
15000US01095,64,18
15000US26143,24,10
15000US01099,20,6
15000US49029,4,2
15000US50011,36,10
15000US26141,16,7
15000US49023,6,2
15000US72015,13,5
15000US49021,26,8
15000US72017,16,5
15000US49027,10,3
15000US72011,21,8
15000US49025,6,2
15000US72013,74,25
15000US45005,9,3
15000US45007,124,39
15000US45001,20,6
15000US45003,106,33
15000US48209,79,25
15000US45009,16,4
15000US39143,58,15
15000US55089,60,19
15000US39141,61,17
15000US39147,56,14
15000US53067,160,50
15000US39145,72,20
15000US55081,34,9
15000US39149,38,10
15000US55083,28,11
15000US18029,33,10
15000US55087,130,40
15000US50013,7,2
15000US08103,6,2
15000US13195,15,6
15000US08101,133,55
15000US13197,4,2
15000US08107,18,8
15000US13191,10,5
15000US22079,96,33
15000US13193,12,4
15000US22077,15,6
15000US08109,5,2
15000US22073,112,40
15000US13199,19,4
15000US22071,496,177
15000US13205,16,5
15000US13207,13,5
15000US13201,4,2
15000US13209,6,3
15000US21073,37,11
15000US30029,69,19
15000US21071,40,10
15000US21077,3,2
15000US21075,8,2
15000US30023,10,3
15000US30021,10,3
15000US21079,11,4
15000US30027,5,2
15000US30025,2,1
15000US34013,670,210
15000US34011,99,35
15000US34017,444,166
15000US34015,190,63
15000US34019,78,26
15000US48179,23,7
15000US08039,14,7
15000US08037,28,13
15000US08035,154,61
15000US08033,1,1
15000US08031,480,144
15000US40011,11,5
15000US40013,30,11
15000US40015,27,8
15000US51139,20,5
15000US40017,77,29
15000US41019,84,23
15000US40019,41,11
15000US41017,84,23
15000US41015,16,6
15000US41013,15,4
15000US41011,63,14
15000US48349,34,10
15000US48059,11,3
15000US53071,42,12
15000US19001,8,3
15000US19003,3,2
15000US19005,14,5
15000US19007,13,5
15000US19009,8,3
15000US47039,9,4
15000US53075,32,10
15000US37105,36,13
15000US37107,46,15
15000US37101,83,25
15000US37103,6,3
15000US54017,7,2
15000US37109,49,18
15000US47087,8,4
15000US31177,17,5
15000US47085,15,5
15000US31175,4,2
15000US47083,6,3
15000US31173,5,2
15000US47081,13,6
15000US31171,0,0
15000US47089,31,9
15000US31179,9,2
15000US48347,38,13
15000US25015,104,36
15000US25017,1132,318
15000US25011,61,18
15000US25013,336,103
15000US48357,8,3
15000US48355,241,81
15000US25019,11,6
