stateid,blockgroups,tracts,counties
15000US26,8204,2813,83
15000US53,4782,1458,39
15000US32,1835,687,17
15000US33,921,295,10
15000US56,409,132,23
15000US15,874,351,5
15000US16,962,298,44
15000US17,9690,3123,102
15000US10,573,218,3
15000US11,449,179,1
15000US12,11441,4245,67
15000US13,5532,1969,159
15000US36,15462,4918,62
15000US37,6154,2195,100
15000US34,6319,2010,21
15000US35,1448,499,33
15000US18,4813,1511,92
15000US19,2629,825,99
15000US30,841,271,56
15000US31,1632,532,93
15000US72,2593,945,78
15000US54,1591,484,55
15000US38,571,205,53
15000US50,521,184,14
15000US39,9237,2952,88
15000US51,5331,1907,133
15000US55,4488,1409,72
15000US28,2163,664,82
15000US02,533,167,29
15000US01,3437,1181,67
15000US29,4505,1393,115
15000US06,23211,8056,58
15000US05,2146,686,75
15000US04,4177,1526,15
15000US25,4984,1478,14
15000US24,3925,1406,24
15000US09,2584,833,8
15000US08,3531,1249,64
15000US21,3284,1115,120
15000US20,2350,769,105
15000US23,1085,358,16
15000US22,3470,1148,64
15000US47,4124,1497,95
15000US46,653,222,66
15000US45,3058,1103,46
15000US44,814,244,5
15000US42,9739,3217,67
15000US41,2633,834,36
15000US40,2964,1046,77
15000US27,4110,1338,87
15000US49,1689,588,29
15000US48,15810,5265,254
