tractid,blockgroups
15000US37051000500,2
15000US35001003729,1
15000US26059050500,3
15000US55139002400,4
15000US06029006403,3
15000US35001003724,2
15000US06029006401,4
15000US35001003726,1
15000US35001003721,3
15000US28081950202,2
15000US06037143602,2
15000US06029006404,1
15000US36111952600,4
15000US36081054900,3
15000US42003220600,1
15000US47069950400,3
15000US27109001203,2
15000US06073009805,3
15000US06073009804,3
15000US06073009802,4
15000US06073009801,3
15000US35001003728,3
15000US41047010306,4
15000US48439111545,1
15000US36047004300,3
15000US08001008308,2
15000US08001008309,2
15000US40097040501,2
15000US39081011500,3
15000US40097040502,3
15000US06057000200,1
15000US13015960802,1
15000US13015960801,1
15000US36061009200,0
15000US45015020506,2
15000US06037143604,1
15000US45015020504,2
15000US45015020505,0
15000US36119008800,2
15000US27093560200,4
15000US48061013002,2
15000US42041981001,0
15000US26163507200,1
15000US06037600601,2
15000US06037600602,0
15000US17031060900,4
15000US27161790300,3
15000US25009201100,3
15000US40027201202,2
15000US24031705200,2
15000US10001040700,2
15000US26163569700,3
15000US36119006801,3
15000US48439113707,2
15000US55135100900,4
15000US51153901601,2
15000US42133023100,5
15000US24001001900,1
15000US51165010300,1
15000US53073010501,2
15000US34027045804,2
15000US28081950201,3
15000US17099962200,3
15000US17197883522,2
15000US17197883521,2
15000US06037143603,0
15000US42109070500,2
15000US21195931000,2
15000US47093006207,0
15000US55003950800,3
15000US48139060701,1
15000US21009950800,2
15000US48139060703,1
15000US25017321100,2
15000US12086013700,1
15000US41051002100,1
15000US48039661800,1
15000US25023503102,5
15000US01061050300,5
15000US24027606901,3
15000US53025010902,3
15000US36093032503,2
15000US46105968300,2
15000US18059410700,2
15000US01109189000,4
15000US22047952700,3
15000US51095080301,2
15000US34041032200,4
15000US06073011300,0
15000US39169003400,3
15000US06013311000,2
15000US36055004000,1
15000US24031705902,2
15000US09009175400,3
15000US42003484300,2
15000US34025810600,3
15000US50003970800,2
15000US48465950302,2
15000US13089021202,2
15000US36089490700,3
15000US22095071000,1
15000US42071010701,4
15000US39083007100,3
15000US37071032600,3
15000US72143550500,3
15000US17031807200,4
15000US08069002801,2
15000US08069002803,0
15000US08069002802,3
15000US41005022107,1
15000US41005022105,2
15000US41005022103,1
15000US37027031100,3
15000US36103158609,2
15000US27053111200,2
15000US36103158607,1
15000US36103158606,2
15000US36103158605,1
15000US36103158604,2
15000US06041117000,3
15000US41005022108,1
15000US04013116611,1
15000US04013116610,1
15000US04013116613,2
15000US04013116612,2
15000US09009351602,3
15000US09009351601,3
15000US36087012600,3
15000US72137121100,2
15000US06059052423,2
15000US48201550401,3
15000US36085023900,1
15000US31151960700,1
15000US39017011130,2
15000US06037117408,0
15000US39103412000,3
15000US41047001803,1
15000US12086002100,3
15000US27153790100,2
15000US40039950800,2
15000US39113004200,2
15000US17043842711,1
15000US17043842710,2
15000US36047000100,3
15000US48491020406,1
15000US72015280201,3
15000US51810046212,2
15000US51059481600,1
15000US45041002300,2
15000US51810046216,2
15000US06029004000,3
15000US51131930100,3
15000US36061026900,5
15000US06037400206,1
15000US06037400207,3
15000US06037400204,2
15000US06037400205,0
15000US19069360200,3
15000US54001965800,3
15000US36055009400,3
15000US47053966300,1
15000US36109000400,0
15000US42101025700,2
15000US13015960803,2
15000US06059052425,3
15000US51650011500,3
15000US23005000600,1
15000US06039000201,1
15000US06039000202,3
15000US27053024004,2
15000US42011013800,2
15000US54039001901,2
15000US08013013602,1
15000US24043000200,2
15000US08013013601,2
15000US34013015400,3
15000US06075031100,4
15000US24005421200,1
15000US40081961100,4
15000US36047067600,1
15000US12115002602,2
15000US48491020409,1
15000US39153508600,2
15000US18163002600,3
15000US12115002603,1
15000US48451000200,3
15000US54049020900,3
15000US12115002604,1
15000US45079002700,3
15000US36101960100,0
15000US06037269903,0
15000US06037910402,1
15000US06037910403,0
15000US26125128100,2
15000US06037910401,1
15000US06037910404,1
15000US36059408300,6
15000US40097040800,3
15000US30067000400,5
15000US48029192000,4
15000US08125963200,4
15000US26163563700,1
15000US34015501603,3
15000US37183051600,4
15000US36081013700,0
15000US34015501606,3
15000US34015501605,2
15000US34015501604,4
15000US34015501609,1
15000US34015501608,1
15000US04001944000,2
15000US39055311900,2
15000US26155030100,4
15000US12127082401,1
15000US06037199120,1
15000US12127082405,3
15000US12127082404,1
15000US56019955200,3
15000US12127082406,0
15000US36005021501,2
15000US55089640100,4
15000US42027012300,1
15000US21053970100,1
15000US24011955201,1
15000US41051010600,2
15000US20145970300,1
15000US48061013004,2
15000US32510000300,2
15000US26055551100,2
15000US06071006700,3
15000US12011090404,1
15000US06001408100,3
15000US06065041702,2
15000US42071000600,3
15000US06065041704,1
15000US22029000100,2
15000US12011090403,1
15000US27003050501,3
15000US27003050504,1
15000US27003050505,3
15000US42111021600,1
15000US06001403900,2
15000US45007011201,0
15000US42045403101,2
15000US25011040701,3
15000US21093000700,3
15000US39025041501,2
15000US21073070702,2
15000US21073070701,2
15000US39025041502,3
15000US55139000400,2
15000US06037532102,1
15000US06037532101,2
15000US48201522500,3
15000US08093000100,2
15000US40027201201,1
15000US31057962300,2
15000US06037195710,2
15000US18145710602,1
15000US18145710601,3
15000US55079006300,2
15000US36045060803,5
15000US36059990400,0
15000US18063211000,3
15000US37133000800,0
15000US55115100700,2
15000US25027754400,2
15000US36029012300,3
15000US48423002009,2
15000US37171931200,2
15000US40137000400,3
15000US37089930502,1
15000US53063012801,3
15000US55025010501,1
15000US36059416300,3
15000US53003960200,3
15000US72113071401,1
15000US49035111903,2
15000US42003130400,2
15000US24033802104,1
15000US55079187300,2
15000US72113071402,2
15000US13279970400,3
15000US22051028000,2
15000US36087010703,1
15000US28035010700,2
15000US01125010500,1
15000US37155960402,1
15000US29189220200,4
15000US08089968000,1
15000US17019000402,1
15000US53061052209,2
15000US12105014804,2
15000US48201322900,2
15000US12017451300,1
15000US06111007700,2
15000US05007020301,2
15000US05007020302,2
15000US05007020305,1
15000US05007020304,2
15000US12105014803,0
15000US42005950800,3
15000US53029970700,1
15000US34007603301,2
15000US16019970700,3
15000US34007603303,1
15000US51550020906,2
15000US51550020905,0
15000US48201551100,4
15000US39097040201,1
15000US51153901602,4
15000US51033030600,1
15000US39035121403,2
15000US20001953000,3
15000US36067014900,0
15000US26099225600,2
15000US39035121401,1
15000US31055006904,3
15000US48439110302,4
15000US42045403104,1
15000US39085201300,2
15000US48029190400,2
15000US48037010500,2
15000US72151950800,2
15000US12005000500,1
15000US06037123303,1
15000US25027717100,1
15000US22051021600,3
15000US32019960800,4
15000US29095012904,2
15000US18097330500,3
15000US17031838000,1
15000US26081000800,2
15000US29095012903,3
15000US34001010105,1
15000US40109105500,3
15000US36081051100,1
15000US26163511000,3
15000US26099255400,2
15000US06085508704,2
15000US06085508703,4
15000US28151000800,1
15000US18089040900,3
15000US45083021803,2
15000US45083021802,3
15000US45083021804,1
15000US42001030600,2
15000US51171040800,2
15000US36081026000,1
15000US02110000500,2
15000US39133601000,2
15000US04017963700,1
15000US48479001717,1
15000US48479001716,2
15000US48479001715,1
15000US48479001714,1
15000US48027022405,1
15000US48027022404,1
15000US48479001719,1
15000US37087980100,0
15000US17031825801,2
15000US17031825803,4
15000US17031825802,2
15000US20151968800,3
15000US39149972000,4
15000US12073000500,1
15000US04017961700,3
15000US33015065001,4
15000US40083600400,3
15000US42129807700,2
15000US33015065005,1
15000US48381021200,4
15000US33015065007,0
15000US33015065006,1
15000US51059491202,0
15000US36113070200,0
15000US42003202300,3
15000US17031823400,3
15000US06053012302,0
15000US13123080100,2
15000US12071000402,1
15000US12071000401,2
15000US34039034100,2
15000US17131040400,4
15000US04013092500,3
15000US42091206704,1
15000US13135050219,1
15000US13135050218,1
15000US37109070902,2
15000US13135050215,0
15000US13135050214,2
15000US13135050217,1
15000US13135050216,2
15000US13135050211,2
15000US13135050210,1
15000US13135050213,1
15000US13135050212,2
15000US17089850500,3
15000US34009021400,3
15000US06059001201,2
15000US01015000700,2
15000US34029732104,3
15000US31055006903,1
15000US34029732101,3
15000US12087971002,2
15000US12087971001,1
15000US39075976302,2
15000US37019020510,2
15000US37019020511,1
15000US37019020512,3
15000US44005041702,2
15000US48035950400,1
15000US25017342300,3
15000US15009031502,2
15000US15009031503,1
15000US40019893100,2
15000US15009031501,1
15000US18005011400,3
15000US47103975200,1
15000US55117010502,1
15000US18097321400,3
15000US72141957600,2
15000US51161030802,3
15000US18113972500,3
15000US29077002300,3
15000US42129801702,2
15000US42129801703,1
15000US39113120101,1
15000US28047001700,4
15000US39113120103,1
15000US28033070710,1
15000US47113001100,0
15000US05107480200,5
15000US48439114103,7
15000US48439114102,5
15000US39035113500,0
15000US34021004403,3
15000US34021004404,3
15000US34021004405,2
15000US34021004406,2
15000US34021004407,4
15000US04012940300,3
15000US45019004611,3
15000US23031036002,4
15000US40145030510,0
15000US13021013302,3
15000US23031036001,5
15000US36081145101,0
15000US36081145102,1
15000US36063020500,1
15000US06037603400,2
15000US48409011200,2
15000US39035177609,1
15000US49053270500,3
15000US36061007100,4
15000US25019950200,3
15000US55079140201,2
15000US36059518000,5
15000US18105000700,2
15000US48439111542,1
15000US06089011600,2
15000US48201552102,2
15000US48201552103,1
15000US48201552101,0
15000US27053021504,3
15000US37051001903,3
15000US37051001901,0
15000US42037050700,3
15000US09007550201,1
15000US09007550202,2
15000US06083001500,2
15000US05005950800,3
15000US37119003204,2
15000US48439111313,3
15000US20035493900,2
15000US37139960701,1
15000US18097341200,2
15000US45019004613,0
15000US37139960702,3
15000US42017103300,1
15000US36047057900,1
15000US37197050300,5
15000US39035111902,0
15000US18087970100,4
15000US39035177607,1
15000US06073012302,0
15000US06073012303,1
15000US06073012304,1
15000US25013813101,2
15000US25013813102,1
15000US48061012506,1
15000US48061012508,0
15000US25025000802,4
15000US25025000803,1
15000US42091201703,1
15000US36059518203,2
15000US39079957700,4
15000US48275950100,1
15000US37119006103,1
15000US39035177606,1
15000US29095013100,2
15000US47019070600,1
15000US48113001302,2
15000US25021403300,2
15000US27133570100,2
15000US55087012601,3
15000US54039012200,3
15000US47065010303,1
15000US47065010304,3
15000US47065010305,0
15000US17073031000,2
15000US26025000200,2
15000US12103026001,2
15000US26163577400,4
15000US13063980000,0
15000US12103026002,2
15000US28003950600,1
15000US41005021100,3
15000US48053960200,1
15000US12086010704,4
15000US12086010703,3
15000US06041110200,2
15000US08069001606,0
15000US08069001607,0
15000US08069001605,0
15000US08069001602,1
15000US08069001603,2
15000US08069001601,1
15000US25017311300,2
15000US36059518201,2
15000US39049006944,3
15000US08069001608,0
15000US27035951100,3
15000US72119130702,2
15000US48491020701,1
15000US46099001108,3
15000US18017951000,2
15000US29510126900,5
15000US39035177604,1
15000US46099001105,1
15000US51059461000,0
15000US45079011102,2
15000US42101033702,3
15000US22015010900,1
15000US18173030600,6
15000US40031000600,1
15000US17099961800,3
15000US31109002002,2
15000US48135001000,2
15000US48029181303,1
15000US46083010103,1
15000US27053021503,3
15000US26093744400,1
15000US25013801604,1
15000US12009064500,1
15000US13121009801,2
15000US32031001801,2
15000US25013801601,3
15000US25013801602,2
15000US25013801603,1
15000US54015958100,2
15000US46083010105,0
15000US72013300400,2
15000US25017335400,3
15000US06037550800,6
15000US51145500300,0
15000US06037502100,2
15000US21111005000,1
15000US36047022800,2
15000US48069950300,1
15000US46083010106,1
15000US01019956000,2
15000US22017022100,6
15000US06037401800,2
15000US46083010108,0
15000US51001090300,2
15000US31019969600,3
15000US39151702300,1
15000US47037013300,3
15000US51760050400,1
15000US36075020703,1
15000US17031200200,3
15000US21151010600,3
15000US06037460000,3
15000US06059075901,2
15000US06059075902,4
15000US01017954400,0
15000US39113080200,2
15000US12033003400,2
15000US25017318100,3
15000US39105964500,2
15000US39151713700,2
15000US29077001200,2
15000US33011010800,5
15000US04019004716,1
15000US04019004717,1
15000US04019004714,4
15000US04019004715,2
15000US04019004712,2
15000US04019004713,2
15000US04019004710,2
15000US04019004711,2
15000US13067031207,2
15000US13067031206,2
15000US13067031205,2
15000US10003014703,3
15000US04019004718,1
15000US04019004719,3
15000US49035113020,0
15000US40141070100,1
15000US72069180600,4
15000US51179010403,1
15000US39049009800,3
15000US39035185104,2
15000US09001022400,1
15000US53033011102,3
15000US39035185101,1
15000US39035185103,2
15000US39035185102,2
15000US04015953900,1
15000US51059432701,0
15000US37145920601,3
15000US49057200204,1
15000US27053025100,2
15000US17031580300,0
15000US04025000802,1
15000US04025000801,2
15000US35009000900,1
15000US20177003500,2
15000US37151030201,2
15000US17097863100,1
15000US36001014700,1
15000US18041954000,2
15000US25017352800,1
15000US23005004402,2
15000US12099004602,2
15000US12099004601,2
15000US23005004401,4
15000US72127006300,5
15000US06037139402,2
15000US06037139401,1
15000US18085961500,2
15000US06065042708,1
15000US06065042709,1
15000US26125136102,2
15000US48167726000,1
15000US12031010402,2
15000US42015951000,2
15000US06059042109,3
15000US06059042108,4
15000US26017285900,2
15000US48029180603,0
15000US46029954600,1
15000US06059042103,4
15000US27053109100,5
15000US39049000600,4
15000US06059042107,1
15000US06059042106,1
15000US22017021600,3
15000US34025805500,3
15000US42101017100,3
15000US08001008548,0
15000US08001008549,1
15000US12109020704,1
15000US12109020705,3
15000US04019940900,0
15000US08001008545,4
15000US08001008546,1
15000US06037554001,3
15000US08001008540,0
15000US08001008541,0
15000US08001008542,1
15000US08001008543,4
15000US08059011202,3
15000US06037119700,2
15000US48423002007,3
15000US48423002006,2
15000US48423002004,1
15000US39055312100,2
15000US29085470100,2
15000US48423002008,2
15000US24005451900,2
15000US42007601700,1
15000US48217961100,1
15000US26125137100,3
15000US24005401200,1
15000US06037541001,0
15000US06037541002,0
15000US48085031409,3
15000US17031810302,2
15000US18151971500,3
15000US36099950600,3
15000US40109101300,5
15000US48085031405,5
15000US19125030600,2
15000US48085031407,2
15000US21047201000,1
15000US28059042200,3
15000US12031011600,1
15000US55051990000,0
15000US48395960300,2
15000US53009001200,2
15000US48469001604,2
15000US19163011000,1
15000US48029181001,1
15000US55133203101,4
15000US51059482001,2
15000US48215020503,3
15000US40017300100,2
15000US48215020501,3
15000US01089010402,1
15000US01089010401,1
15000US48215020504,3
15000US22073000200,4
15000US42121200000,2
15000US54055001500,2
15000US40027201904,2
15000US39093070300,3
15000US18167001300,1
15000US26081011405,2
15000US40143006902,1
15000US09001073200,1
15000US17031140800,4
15000US21049020600,1
15000US55139001100,3
15000US21061980100,0
15000US41029000404,1
15000US44007013701,3
15000US44007013702,2
15000US34003053200,4
15000US36081008300,1
15000US06037124400,2
15000US26065004302,1
15000US25021400200,2
15000US40027201902,2
15000US47129110500,3
15000US12075970301,1
15000US12075970302,2
15000US42101036600,0
15000US21187970300,1
15000US48439105006,0
15000US06037217100,4
15000US36059520200,3
15000US48439105001,4
15000US18163001000,3
15000US06037573902,0
15000US48439105008,4
15000US42003101800,1
15000US25027744300,3
15000US25027732400,5
15000US53033023603,3
15000US26081012201,2
15000US26081012202,2
15000US13121007400,1
15000US51740210600,1
15000US53033023604,3
15000US40143005001,1
15000US28033070411,0
15000US28033070412,2
15000US40143005002,2
15000US40109107222,1
15000US28049010809,0
15000US01097007000,2
15000US18097320304,3
15000US53035092802,2
15000US36081052100,1
15000US37035011601,2
15000US39097041300,1
15000US72153750503,1
15000US06037702501,4
15000US42003414101,3
15000US39003012100,1
15000US42003414102,2
15000US21015070309,1
